Category,Tool,Type,License,Key Feature,2025 Trend Status
Internal Developer Platform,Backstage,Framework,Apache 2.0,Plugin Ecosystem & Customization,Standard for Enterprises (Build approach)
Internal Developer Platform,Port,SaaS Product,Commercial,No-code Blueprints & Self-service Actions,Rapid Adoption (Buy approach)
Platform Orchestrator,Humanitec,Backend Engine,Commercial,Dynamic Config Management & Score,Defining Platform Backends
Infrastructure as Code,Terraform,CLI Tool,BSL v1.1,Mature Ecosystem & Cloud Support,Stable but Licensing Concerns
Infrastructure as Code,OpenTofu,CLI Tool,MPL 2.0,State Encryption & Open Governance,Rising Alternative to Terraform
Infrastructure Control Plane,Crossplane,K8s Operator,Apache 2.0,Continuous Reconciliation & Compositions,Strategic Shift for Platform Eng
Container Orchestration,Kubernetes,Orchestrator,Apache 2.0,Ecosystem Dominance & Extensibility,Industry Standard
Container Orchestration,Nomad,Orchestrator,BSL v1.1,Single Binary & Non-container Workloads,Niche for Edge/Batch/Simplicity
GitOps,ArgoCD,CD Controller,Apache 2.0,Visual UI & App of Apps Pattern,Dominant for App Delivery
GitOps,Flux,CD Toolkit,Apache 2.0,OCI Support & Helm Controller,Preferred for Platform Bootstrapping
Observability - Logs,Loki,Log Aggregation,AGPL v3,Label-based Indexing & Low Cost,Replacing ELK for K8s Logs
Observability - Traces,Tempo,Distributed Tracing,AGPL v3,Trace ID Indexing & Object Storage,High Volume Tracing Standard
Observability - Metrics,Mimir,Time Series DB,AGPL v3,Horizontal Scaling & Long-term Storage,Replacing Thanos/Cortex
Observability - Telemetry,OpenTelemetry,Collector/Standard,Apache 2.0,Vendor Neutrality & Pipelines,Universal Standard
Network Observability,Cilium (Hubble),CNI/eBPF,Apache 2.0,eBPF Visibility & Service Map,Essential for Zero Trust
Secrets Management,HashiCorp Vault,Secrets Engine,BSL v1.1,Dynamic Secrets & Encryption as Service,Gold Standard for Storage
Secrets Management,External Secrets Operator,K8s Operator,Apache 2.0,Sync External APIs to K8s Secrets,Replacing Sidecar Injection
Security Scanning,Trivy,All-in-one Scanner,Apache 2.0,Container/Filesystem/Git Scanning,Standard CI/CD Component