id,name,core_entities,critical_features,data_consistency,performance_bottleneck,recommended_stack_ref,2025_standard
prod_ecommerce,E-commerce Platform,Product | SKU | Cart | Order | Payment | User | Inventory,Inventory Locking | Payment Gateway Webhooks | Cart Persistence | Search & Filtering,Strong (for Inventory/Orders),Database locks during checkout (Race Conditions),arch_modular_monolith,Sử dụng 'Outbox Pattern' cho xử lý đơn hàng. Tích hợp Vector Search cho 'Semantic Product Search' (tìm kiếm theo ý nghĩa).
prod_saas_b2b,B2B SaaS Application,Tenant | Organization | User | Subscription | Role | Permission | AuditLog,Multi-tenancy Isolation | RBAC/ABAC Authorization | Subscription Lifecycle (Stripe/LemonSqueezy),Strong (Tenant Config),Tenant Isolation Leakage (Data spill),arch_clean_hexagonal,Dùng 'Row-Level Security (RLS)' trong Postgres để cô lập dữ liệu Tenant. Hỗ trợ SSO/SAML mặc định.
prod_fintech,Digital Wallet / Banking,Wallet | Transaction | Ledger | Currency | Beneficiary | KYCProfile,Double-entry Bookkeeping (Kế toán kép) | Idempotency Keys | Fraud Detection | Audit Trails,Strong (ACID mandatory),High contention on Hot Wallet accounts,lang_java_21,Bắt buộc dùng 'Idempotency Keys' cho mọi API giao dịch. Log thay đổi data ra bảng Audit riêng không được sửa xóa (Append-only).
prod_social,Social Network / Community,User | Post | Comment | Reaction | Follower | Feed | Notification,Fan-out on Write (Feed generation) | Graph Relationships | Media Processing | Real-time Notifs,Eventual (Feeds/Likes),Complex Graph Joins & Feed Aggregation,arch_space_based,Dùng Graph Database hoặc Recursive CTE cho quan hệ bạn bè. Feed nên dùng Redis/Cassandra. Ảnh/Video xử lý async qua Queue.
prod_realtime_chat,Chat / Messaging App,Room | Message | Participant | Device | Attachment | ReadReceipt,WebSocket Managment | Message Persistence | Offline Sync | Presence System (Online/Offline),Hybrid (Strong storage / Eventual delivery),WebSocket connection limits (C10K problem),lang_elixir,Dùng mô hình Actor (Elixir/Akka) để quản lý state từng Room. Lưu tin nhắn vào ScyllaDB/Cassandra để scale write cực cao.
prod_ai_agent,AI Agent / RAG System,Agent | Thread | Message | DocumentChunk | Embedding | Tool,Vector Search (Similarity) | Context Window Management | Streaming Response | Tool Execution Sandbox,Eventual (Vector indexing),LLM Latency & Context Loading,arch_ai_agentic,Dùng pgvector hoặc Qdrant. Streaming response từ server về client là bắt buộc. Lưu history hội thoại vào NoSQL để linh hoạt schema.
prod_iot_telemetry,IoT / Telemetry Dashboard,Device | Sensor | Metric | TimeSeries | AlertRule,High-frequency Ingestion | Data Downsampling | Real-time Alerting,Eventual,Write throughput overload,db_timescaledb,Không dùng bảng SQL thường cho log sensor. Dùng TimescaleDB hoặc ClickHouse. Dùng UDP/MQTT cho ingestion.
prod_marketplace,Two-sided Marketplace,Buyer | Seller | Listing | Booking/Order | Review | Payout,Escrow Payments (Giữ tiền) | Calendar/Availability Sync | Geo-spatial Search,Strong (Booking),Availability conflicts (Double booking),arch_modular_monolith,Xử lý kỹ logic 'State Machine' cho đơn hàng (Pending -> Confirmed -> Completed). Geo-hashing (PostGIS) cho tìm kiếm địa điểm.
prod_content_media,Streaming / Content Platform,Video | Playlist | Channel | Subscription | StreamKey | TranscodeJob,HLS/DASH Streaming | CDN Integration | DRM Protection | Video Transcoding,Eventual,Bandwidth & Storage costs,arch_serverless,Dùng Signed URLs (CloudFront/S3) để bảo vệ nội dung. Transcoding chạy trên Serverless/Worker (AWS MediaConvert).
prod_booking,Booking / Reservation System,Resource (Room/Seat) | Slot | Reservation | User | Calendar,Concurrency Control (Optimistic Locking) | Timezone Management | Slot Generation,Strong,Overbooking due to race conditions,lang_go,Sử dụng 'Optimistic Locking' (version column) để tránh đặt trùng chỗ. Lưu thời gian chuẩn UTC.
prod_lms,Learning Management System (LMS),Course | Module | Lesson | Enrollment | Progress | Quiz | Certificate,Progress Tracking | Video Streaming | Automated Grading | Scorm Compliance,Strong (Progress),Complex Progress Aggregation,lang_python_django,Tính toán tiến độ học tập nên chạy async background job. Cấu trúc dữ liệu cây (Tree) cho mục lục khóa học.
prod_crm,CRM System,Lead | Contact | Deal | Pipeline | Activity | Note | Integration,Custom Fields (EAV or JSONB) | Email Sync | Reporting | Workflow Automation,Strong,Complex filtering on custom fields,db_postgres,Dùng cột JSONB cho các trường tùy chỉnh (Custom Fields) để tránh EAV anti-pattern. Tích hợp ElasticSearch cho full-text search hồ sơ.
prod_analytics,Analytics Platform,Event | Session | UserProperty | Funnel | Dashboard,Columnar Storage | Batch Processing | Real-time Aggregation,Eventual,Query latency on massive datasets,db_clickhouse,Tuyệt đối không dùng Row-oriented DB (MySQL/Postgres) cho bảng Events. Dùng ClickHouse hoặc DuckDB. Pre-aggregate dữ liệu cho dashboard.
prod_delivery,Logistics / Delivery App,Order | Driver | Vehicle | Route | LocationPing | Zone,Real-time Geo-tracking | Route Optimization | Dispatch Algorithm,Eventual (Location updates),Geospatial indexing updates,lang_rust,Dùng Redis Geo hoặc Uber H3 index cho tracking vị trí tài xế. Thuật toán điều phối (Matching) cần xử lý trên Memory.
prod_crawler,Web Crawler / Scraper,Job | TargetURL | Proxy | ParsedData | Schedule,IP Rotation | Rate Limiting | Headless Browser Management | CAPTCHA Solving,Eventual,Blocking/Banning by target sites,lang_go,Quản lý Queue job chặt chẽ (Redis Streams). Sử dụng Headless Browser pool cẩn thận để tránh leak memory.